cu_option,cu_119,cu,voltage_level,cycle,or_abbreviation,asset_ownership,gen,cmt,perg,stn,sdl,crs,min_cu,avg_cu,max_cu,cot_value,cu_without_cot
0,853.7449,853.7449,1,202505,CHEC,50% OPERADOR,305.1401,103.0233,59.5521,56.7575,288.128,41.1439,846.3096,853.7199,858.8686,73.91,779.8349
0,708.4558,708.4558,2,202505,CHEC,N/A,305.1401,71.9933,27.1466,56.7575,206.2744,41.1439,701.5949,708.4328,713.1837,42.88,665.5758
0,814.9277,814.9277,1,202505,CHEC,100% USUARIO,305.1401,103.0233,59.5521,56.7575,249.3108,41.1439,807.4924,814.9027,820.0514,73.91,741.0177
0,892.5622,892.5622,1,202505,CHEC,100% OPERADOR,305.1401,103.0233,59.5521,56.7575,326.9453,41.1439,885.1269,892.5372,897.6859,73.91,818.6522
0,543.1945,543.1945,3,202505,CHEC,N/A,305.1401,29.1133,20.1518,56.7575,90.8879,41.1439,536.4578,543.1719,547.8369,0,543.1945
0,795.9777,795.9777,1,202505,CEDENAR,100% OPERADOR,303.0948,74.1669,59.7766,56.7575,261.038,41.1439,788.4649,795.9525,801.1549,42.4,753.5777
0,736.921,736.921,1,202505,CEDENAR,100% USUARIO,303.0948,74.1669,59.7766,56.7575,201.9813,41.1439,729.4082,736.8958,742.0982,42.4,694.521
0,766.4494,766.4494,1,202505,CEDENAR,50% OPERADOR,303.0948,74.1669,59.7766,56.7575,231.5097,41.1439,758.9366,766.4242,771.6266,42.4,724.0494
0,648.0782,648.0782,2,202505,CEDENAR,N/A,303.0948,73.6669,20.2309,56.7575,153.1842,41.1439,641.2702,648.0553,652.7696,41.9,606.1782
0,565.2091,565.2091,3,202505,CEDENAR,N/A,303.0948,55.6869,14.1522,56.7575,94.3738,41.1439,558.5097,565.1866,569.8258,23.92,541.2891
0,674.2063,674.2063,1,202505,CEDELCA,100% USUARIO,305.3553,30.9441,69.4408,56.7575,170.5647,41.1439,666.6188,674.1808,679.4349,0,674.2063
0,764.6796,764.6796,1,202505,CEDELCA,100% OPERADOR,305.3553,30.9441,69.4408,56.7575,261.038,41.1439,757.0921,764.6541,769.9082,0,764.6796
0,719.443,719.443,1,202505,CEDELCA,50% OPERADOR,305.3553,30.9441,69.4408,56.7575,215.8014,41.1439,711.8555,719.4175,724.6716,0,719.443
0,551.8536,551.8536,3,202505,CEDELCA,N/A,305.3553,30.9441,23.279,56.7575,94.3738,41.1439,545.0836,551.8309,556.5188,0,551.8536
0,614.9307,614.9307,2,202505,CEDELCA,N/A,305.3553,30.9441,27.5457,56.7575,153.1842,41.1439,608.0851,614.9077,619.648,0,614.9307
0,879.9256,879.9256,1,202505,CENS,100% OPERADOR,305.2998,83.1575,66.6216,56.7575,326.9453,41.1439,872.3042,879.9,885.1775,53.12,826.8056
