Comercializador,Mercado,Nivel de Tensión,G,T,D,C,COT,P,R,CU,CU + COT
VATIA S.A. E.S.P.,ANTIOQUIA,1 OR,305.27,56.76,326.95,14.14,45.22,63.68,41.14,807.94,853.16
VATIA S.A. E.S.P.,ANTIOQUIA,1 COMP,305.27,56.76,291.41,14.14,45.22,63.68,41.14,772.41,817.63
VATIA S.A. E.S.P.,ANTIOQUIA,1 US,305.27,56.76,255.88,14.14,45.22,63.68,41.14,736.88,782.10
VATIA S.A. E.S.P.,ANTIOQUIA,2,305.27,56.76,206.27,14.16,21.04,19.38,41.14,642.98,664.02
VATIA S.A. E.S.P.,ANTIOQUIA,3,305.27,56.76,90.89,14.14,19.47,17.26,41.14,525.46,544.93
VATIA S.A. E.S.P.,ARAUCA,1 OR,304.04,56.76,299.01,29.37,0.00,46.95,41.14,777.28,777.28
VATIA S.A. E.S.P.,ARAUCA,1 COMP,304.04,56.76,272.83,29.37,0.00,46.95,41.14,751.10,751.10
VATIA S.A. E.S.P.,ARAUCA,1 US,304.04,56.76,246.65,29.37,0.00,46.95,41.14,724.92,724.92
VATIA S.A. E.S.P.,ARAUCA,2,304.04,56.76,188.35,29.37,0.00,16.25,41.14,635.91,635.91
VATIA S.A. E.S.P.,ARAUCA,3,304.04,56.76,127.35,29.37,0.00,9.63,41.14,568.30,568.30
VATIA S.A. E.S.P.,BAJO PUTUMAYO,1 OR,302.75,56.76,262.47,27.08,0.00,44.69,41.14,734.89,734.89
VATIA S.A. E.S.P.,BAJO PUTUMAYO,1 COMP,302.75,56.76,232.72,27.08,0.00,44.69,41.14,705.14,705.14
VATIA S.A. E.S.P.,BAJO PUTUMAYO,1 US,302.75,56.76,202.97,27.08,0.00,44.69,41.14,675.40,675.40
VATIA S.A. E.S.P.,BAJO PUTUMAYO,2,302.75,56.76,181.10,27.08,0.00,17.30,41.14,626.13,626.13
VATIA S.A. E.S.P.,BAJO PUTUMAYO,3,302.75,56.76,79.73,27.08,0.00,14.68,41.14,522.14,522.14
VATIA S.A. E.S.P.,BOGOTA,1 OR,305.17,56.76,299.01,30.45,0.00,61.36,41.14,793.90,793.90
VATIA S.A. E.S.P.,BOGOTA,1 COMP,305.17,56.76,272.37,30.45,0.00,61.36,41.14,767.27,767.27
VATIA S.A. E.S.P.,BOGOTA,1 US,305.17,56.76,245.74,30.45,0.00,61.36,41.14,740.63,740.63
VATIA S.A. E.S.P.,BOGOTA,2,305.17,56.76,188.35,30.45,37.89,20.74,41.14,642.62,680.51
VATIA S.A. E.S.P.,BOGOTA,3,305.17,56.76,127.35,30.45,32.79,20.11,41.14,580.99,613.78
VATIA S.A. E.S.P.,BOYACA,1 OR,305.06,56.76,299.01,32.84,26.07,67.49,41.14,802.31,828.38
VATIA S.A. E.S.P.,BOYACA,1 COMP,305.06,56.76,254.34,32.84,26.07,67.49,41.14,757.63,783.70
VATIA S.A. E.S.P.,BOYACA,1 US,305.06,56.76,209.66,32.84,26.07,67.49,41.14,712.96,739.03
VATIA S.A. E.S.P.,BOYACA,2,305.06,56.76,188.35,32.84,26.58,19.02,41.14,643.17,669.75
VATIA S.A. E.S.P.,BOYACA,3,305.06,56.76,127.35,32.84,23.86,16.14,41.14,579.29,603.15
VATIA S.A. E.S.P.,CALDAS,1 OR,305.14,56.76,326.95,29.11,73.91,59.55,41.14,818.65,892.56
VATIA S.A. E.S.P.,CALDAS,1 COMP,305.14,56.76,288.13,29.11,73.91,59.55,41.14,779.83,853.74
VATIA S.A. E.S.P.,CALDAS,1 US,305.14,56.76,249.31,29.11,73.91,59.55,41.14,741.02,814.93
VATIA S.A. E.S.P.,CALDAS,2,305.14,56.76,206.27,29.11,42.88,27.15,41.14,665.58,708.46
VATIA S.A. E.S.P.,CALDAS,3,305.14,56.76,90.89,29.11,0.00,20.15,41.14,543.19,543.19
VATIA S.A. E.S.P.,CALI,1 OR,305.35,56.76,261.04,22.70,0.00,50.41,41.14,737.40,737.40
VATIA S.A. E.S.P.,CALI,1 COMP,305.35,56.76,246.79,22.70,0.00,50.41,41.14,723.15,723.15
VATIA S.A. E.S.P.,CALI,1 US,305.35,56.76,232.54,22.70,0.00,50.41,41.14,708.90,708.90
VATIA S.A. E.S.P.,CALI,2,305.35,56.76,153.18,22.70,0.00,22.99,41.14,602.12,602.12
VATIA S.A. E.S.P.,CALI,3,305.35,56.76,94.37,22.70,0.00,21.45,41.14,541.78,541.78
VATIA S.A. E.S.P.,CAQUETA,1 OR,303.80,56.76,262.47,27.75,29.82,70.84,41.14,762.77,792.59
VATIA S.A. E.S.P.,CAQUETA,1 COMP,303.80,56.76,233.61,27.75,29.82,70.84,41.14,733.91,763.73
VATIA S.A. E.S.P.,CAQUETA,1 US,303.80,56.76,204.75,27.75,29.82,70.84,41.14,705.04,734.86
VATIA S.A. E.S.P.,CAQUETA,2,303.80,56.76,181.10,27.75,28.20,22.71,41.14,633.26,661.46
VATIA S.A. E.S.P.,CAQUETA,3,303.80,56.76,79.73,27.75,28.37,17.47,41.14,526.65,555.02
VATIA S.A. E.S.P.,CARIBE MAR,1 OR,304.59,56.76,204.81,50.59,85.85,127.56,41.14,785.45,871.30
VATIA S.A. E.S.P.,CARIBE MAR,1 COMP,304.59,56.76,186.86,50.59,85.85,127.56,41.14,767.51,853.36
VATIA S.A. E.S.P.,CARIBE MAR,1 US,304.59,56.76,168.92,50.59,85.85,127.56,41.14,749.57,835.42
VATIA S.A. E.S.P.,CARIBE MAR,2,304.59,56.76,131.71,50.59,59.09,38.43,41.14,623.23,682.32
VATIA S.A. E.S.P.,CARIBE MAR,3,304.59,56.76,99.82,50.59,0.00,27.97,41.14,580.87,580.87
VATIA S.A. E.S.P.,CARIBE SOL,1 OR,304.59,56.76,128.99,51.57,14.26,92.75,41.14,675.79,690.05
VATIA S.A. E.S.P.,CARIBE SOL,1 COMP,304.59,56.76,117.42,51.57,14.26,92.75,41.14,664.23,678.49
VATIA S.A. E.S.P.,CARIBE SOL,1 US,304.59,56.76,105.85,51.57,14.26,92.75,41.14,652.66,666.92
VATIA S.A. E.S.P.,CARIBE SOL,2,304.59,56.76,86.29,51.57,0.00,41.26,41.14,581.60,581.60
VATIA S.A. E.S.P.,CARIBE SOL,3,304.59,56.76,62.62,51.57,0.00,37.62,41.14,554.29,554.29
VATIA S.A. E.S.P.,CARTAGO,1 OR,305.01,56.76,261.04,27.00,0.00,70.15,41.14,762.10,762.10
VATIA S.A. E.S.P.,CARTAGO,1 COMP,305.01,56.76,241.08,27.00,0.00,70.15,41.14,742.14,742.14
VATIA S.A. E.S.P.,CARTAGO,1 US,305.01,56.76,221.12,27.00,0.00,70.15,41.14,722.19,722.19
VATIA S.A. E.S.P.,CARTAGO,2,305.01,56.76,153.18,27.00,0.00,24.51,41.14,608.61,608.61
VATIA S.A. E.S.P.,CARTAGO,3,305.01,56.76,94.37,27.00,0.00,20.41,41.14,545.69,545.69
VATIA S.A. E.S.P.,CASANARE,1 OR,305.06,56.76,262.47,27.57,21.68,75.76,41.14,768.77,790.45
VATIA S.A. E.S.P.,CASANARE,1 COMP,305.06,56.76,220.46,27.57,21.68,75.76,41.14,726.76,748.44
VATIA S.A. E.S.P.,CASANARE,1 US,305.06,56.76,178.46,27.57,21.68,75.76,41.14,684.75,706.43
VATIA S.A. E.S.P.,CASANARE,2,305.06,56.76,181.10,27.57,0.00,32.42,41.14,644.05,644.05
VATIA S.A. E.S.P.,CASANARE,3,305.06,56.76,79.73,27.57,0.00,28.19,41.14,538.45,538.45
VATIA S.A. E.S.P.,CAUCA,1 OR,305.36,56.76,261.04,30.94,0.00,69.44,41.14,764.68,764.68
VATIA S.A. E.S.P.,CAUCA,1 COMP,305.36,56.76,215.80,30.94,0.00,69.44,41.14,719.44,719.44
VATIA S.A. E.S.P.,CAUCA,1 US,305.36,56.76,170.56,30.94,0.00,69.44,41.14,674.21,674.21
VATIA S.A. E.S.P.,CAUCA,2,305.36,56.76,153.18,30.94,0.00,27.55,41.14,614.93,614.93
VATIA S.A. E.S.P.,CAUCA,3,305.36,56.76,94.37,30.94,0.00,23.28,41.14,551.85,551.85
VATIA S.A. E.S.P.,HUILA,1 OR,304.21,56.76,299.01,32.02,20.98,65.30,41.14,798.45,819.43
VATIA S.A. E.S.P.,HUILA,1 COMP,304.21,56.76,274.03,32.02,20.98,65.30,41.14,773.46,794.44
VATIA S.A. E.S.P.,HUILA,1 US,304.21,56.76,249.04,32.02,20.98,65.30,41.14,748.48,769.46
VATIA S.A. E.S.P.,HUILA,2,304.21,56.76,188.35,32.02,33.71,25.97,41.14,648.45,682.16
VATIA S.A. E.S.P.,HUILA,
