Comercializador,Mercado,Nivel de Tensión,G,T,D,C,COT,P,R,CU,CU + COT
ENERTOTAL,ANTIOQUIA,1 OR,387.85,62.20,322.13,32.83,45.72,79.26,39.85,924.12,969.84
ENERTOTAL,ANTIOQUIA,1 COMP,387.85,62.20,281.30,32.83,45.72,79.26,39.85,883.29,929.01
ENERTOTAL,ANTIOQUIA,1 US,387.85,62.20,240.47,32.83,45.72,79.26,39.85,842.46,888.18
ENERTOTAL,ANTIOQUIA,2,387.85,62.20,207.54,32.83,20.86,23.95,39.85,754.21,775.07
ENERTOTAL,ANTIOQUIA,3,387.85,62.20,91.38,32.83,21.67,21.24,39.85,635.34,657.01
ENERTOTAL,ARAUCA,1 OR,393.25,62.20,269.61,50.56,21.33,92.33,39.85,907.79,929.12
ENERTOTAL,ARAUCA,1 COMP,393.25,62.20,253.60,50.56,21.33,92.33,39.85,891.78,913.11
ENERTOTAL,ARAUCA,1 US,393.25,62.20,237.58,50.56,21.33,92.33,39.85,875.76,897.09
ENERTOTAL,ARAUCA,2,393.25,62.20,179.46,50.56,0.00,37.52,39.85,762.83,762.83
ENERTOTAL,ARAUCA,3,393.25,62.20,79.82,50.56,0.00,32.18,39.85,657.85,657.85
ENERTOTAL,BOGOTA,1 OR,387.24,62.20,302.89,33.18,0.00,76.49,39.85,901.85,901.85
ENERTOTAL,BOGOTA,1 COMP,387.24,62.20,275.68,33.18,0.00,76.49,39.85,874.63,874.63
ENERTOTAL,BOGOTA,1 US,387.24,62.20,248.47,33.18,0.00,76.49,39.85,847.42,847.42
ENERTOTAL,BOGOTA,2,387.24,62.20,192.38,33.18,39.17,25.82,39.85,740.67,779.84
ENERTOTAL,BOGOTA,3,387.24,62.20,129.18,33.18,31.62,25.05,39.85,676.70,708.32
ENERTOTAL,BOYACA,1 OR,334.77,62.20,302.89,39.36,15.50,75.08,39.85,854.14,869.64
ENERTOTAL,BOYACA,1 COMP,334.77,62.20,260.52,39.36,15.50,75.08,39.85,811.77,827.27
ENERTOTAL,BOYACA,1 US,334.77,62.20,218.16,39.36,15.50,75.08,39.85,769.41,784.90
ENERTOTAL,BOYACA,2,334.77,62.20,192.38,39.36,27.39,21.68,39.85,690.24,717.63
ENERTOTAL,BOYACA,3,334.77,62.20,129.18,39.36,20.83,18.51,39.85,623.87,644.70
ENERTOTAL,CALDAS,1 OR,391.51,62.20,322.13,40.78,70.59,74.24,39.85,930.71,1001.31
ENERTOTAL,CALDAS,1 COMP,391.51,62.20,283.48,40.78,70.59,74.24,39.85,892.06,962.65
ENERTOTAL,CALDAS,1 US,391.51,62.20,244.82,40.78,70.59,74.24,39.85,853.40,924.00
ENERTOTAL,CALDAS,2,391.51,62.20,207.54,40.78,46.53,33.43,39.85,775.31,821.84
ENERTOTAL,CALDAS,3,391.51,62.20,91.38,40.78,0.00,24.62,39.85,650.34,650.34
ENERTOTAL,CALI,1 OR,387.71,62.20,265.26,32.85,0.00,62.84,39.85,850.70,850.70
ENERTOTAL,CALI,1 US,387.71,62.20,237.07,32.85,0.00,62.84,39.85,822.51,822.51
ENERTOTAL,CALI,2,387.71,62.20,153.46,32.85,0.00,28.61,39.85,704.67,704.67
ENERTOTAL,CALI,3,387.71,62.20,94.93,32.85,0.00,26.70,39.85,644.23,644.23
ENERTOTAL,CAQUETA,1 OR,390.62,62.20,302.89,40.14,18.88,81.16,39.85,916.85,935.73
ENERTOTAL,CAQUETA,1 COMP,390.62,62.20,278.11,40.14,18.88,81.16,39.85,892.07,910.95
ENERTOTAL,CAQUETA,1 US,390.62,62.20,253.34,40.14,18.88,81.16,39.85,867.29,886.17
ENERTOTAL,CAQUETA,2,390.62,62.20,192.38,40.14,35.19,31.59,39.85,756.77,791.96
ENERTOTAL,CAQUETA,3,390.62,62.20,129.18,40.14,63.24,24.18,39.85,686.15,749.39
ENERTOTAL,CARIBE MAR,1 OR,388.80,62.20,133.02,32.62,14.99,112.41,39.85,768.90,783.89
ENERTOTAL,CARIBE MAR,1 COMP,388.80,62.20,122.71,32.62,14.99,112.41,39.85,758.58,773.57
ENERTOTAL,CARIBE MAR,1 US,388.80,62.20,112.40,32.62,14.99,112.41,39.85,748.27,763.26
ENERTOTAL,CARIBE MAR,2,388.80,62.20,92.13,32.62,0.00,47.90,39.85,663.50,663.50
ENERTOTAL,CARIBE MAR,3,388.80,62.20,72.91,32.62,0.00,43.34,39.85,639.71,639.71
ENERTOTAL,CARIBE SOL,1 OR,388.80,62.20,214.71,33.90,85.86,159.11,39.85,898.56,984.43
ENERTOTAL,CARIBE SOL,1 COMP,388.80,62.20,196.79,33.90,85.86,159.11,39.85,880.65,966.51
ENERTOTAL,CARIBE SOL,1 US,388.80,62.20,178.87,33.90,85.86,159.11,39.85,862.73,948.59
ENERTOTAL,CARIBE SOL,2,388.80,62.20,139.86,33.90,62.74,47.42,39.85,712.02,774.77
ENERTOTAL,CARIBE SOL,3,388.80,62.20,108.92,33.90,0.00,34.32,39.85,667.98,667.98
ENERTOTAL,CASANARE,1 OR,393.25,62.20,269.61,50.56,21.33,92.33,39.85,907.79,929.12
ENERTOTAL,CASANARE,1 COMP,393.25,62.20,253.60,50.56,21.33,92.33,39.85,891.78,913.11
ENERTOTAL,CASANARE,1 US,393.25,62.20,237.58,50.56,21.33,92.33,39.85,875.76,897.09
ENERTOTAL,CASANARE,2,393.25,62.20,179.46,50.56,0.00,37.52,39.85,762.83,762.83
ENERTOTAL,CASANARE,3,393.25,62.20,79.82,50.56,0.00,32.18,39.85,657.85,657.85
ENERTOTAL,CAUCA,1 OR,389.76,62.20,265.26,83.49,55.88,74.37,39.85,914.92,970.80
ENERTOTAL,CAUCA,1 US,389.76,62.20,194.71,83.49,55.88,74.37,39.85,844.37,900.25
ENERTOTAL,CAUCA,2,389.76,62.20,153.46,83.49,0.00,31.25,39.85,760.00,760.00
ENERTOTAL,CAUCA,3,389.76,62.20,94.93,83.49,0.00,26.65,39.85,696.86,696.86
ENERTOTAL,HUILA,1 OR,390.62,62.20,302.89,40.14,18.88,81.16,39.85,916.85,935.73
ENERTOTAL,HUILA,1 COMP,390.62,62.20,278.11,40.14,18.88,81.16,39.85,892.07,910.95
ENERTOTAL,HUILA,1 US,390.62,62.20,253.34,40.14,18.88,81.16,39.85,867.29,886.17
ENERTOTAL,HUILA,2,390.62,62.20,192.38,40.14,35.19,31.59,39.85,756.77,791.96
ENERTOTAL,HUILA,3,390.62,62.20,129.18,40.14,63.24,24.18,39.85,686.15,749.39
ENERTOTAL,META,1 OR,389.79,62.20,269.61,33.52,47.72,71.83,39.85,866.80,914.52
ENERTOTAL,META,1 COMP,389.79,62.20,253.60,33.52,47.72,71.83,39.85,850.78,898.50
ENERTOTAL,META,1 US,389.79,62.20,237.58,33.52,47.72,71.83,39.85,834.76,882.48
ENERTOTAL,META,2,389.79,62.20,179.46,33.52,42.23,32.53,39.85,737.34,779.58
ENERTOTAL,META,3,389.79,62.20,79.82,33.52,26.50,25.40,39.85,630.57,657.08
ENERTOTAL,NARIÑO,1 OR,396.00,62.20,265.26,159.29,40.76,76.66,39.85,999.26,1040.02
ENERTOTAL,NARIÑO,1 COMP,396.00,62.20,235.81,159.29,40.76,76.66,39.85,969.80,1010.56
ENERTOTAL,NARIÑO,1 US,396.00,62.20,206.35,159.29,40.76,76.66,39.85,940.35,981.11
ENERTOTAL,NARIÑO,2,396.00,62.20,153.46,159.29,40.27,26.08,39.85,836.87,877.14
ENERTOTAL,NARIÑO,3,396.00,62.20,94.93,159.29,22.78,18.31,39.85,770.57,793.34
ENERTOTAL,NORTE DE SANTANDER,1 OR,389.94,62.20,322.13,44.16,52.16,83.69,39.85,941.97,994.13
ENERTOTAL,NORTE DE SANTANDER,1 COMP,389.94,62.20,293.97,44.16,52.16,83.69,39.85,913.81,965.97
ENERTOTAL,NORTE DE SANTANDER,1 US,389.94,62.20,265.81,44.16,52.16,83.69,39.85,885.65,937.80
