Comercializador,Mercado,Nivel de Tensión,G,T,D,C,COT,P,R,CU,CU + COT
VATIA,ARAUCA,1 OR,304.0386,56.7575,299.0111,29.373,0,46.9529,41.1439,777.277,777.277
VATIA,ARAUCA,1 US,304.0386,56.7575,246.6506,29.373,0,46.9529,41.1439,724.9165,724.9165
VATIA,ARAUCA,1 COMP,304.0386,56.7575,272.8309,29.373,0,46.9529,41.1439,751.0968,751.0968
VATIA,ARAUCA,2,304.0386,56.7575,188.3506,29.373,0,16.2484,41.1439,635.912,635.912
VATIA,ARAUCA,3,304.0386,56.7575,127.3489,29.373,0,9.6336,41.1439,568.2955,568.2955
VATIA,BAJO PUTUMAYO,1 OR,302.7536,56.7575,262.4731,27.0752,0,44.6909,41.1439,734.8942,734.8942
VATIA,BAJO PUTUMAYO,1 US,302.7536,56.7575,202.9745,27.0752,0,44.6909,41.1439,675.3956,675.3956
VATIA,BAJO PUTUMAYO,1 COMP,302.7536,56.7575,232.7238,27.0752,0,44.6909,41.1439,705.1449,705.1449
VATIA,BAJO PUTUMAYO,2,302.7536,56.7575,181.0986,27.0752,0,17.3043,41.1439,626.1331,626.1331
VATIA,BAJO PUTUMAYO,3,302.7536,56.7575,79.7306,27.0752,0,14.683,41.1439,522.1438,522.1438
VATIA,BOYACA,1 OR,305.0558,56.7575,299.0111,32.8442,26.07,67.4945,41.1439,802.307,828.377
VATIA,BOYACA,1 US,305.0558,56.7575,209.6633,32.8442,26.07,67.4945,41.1439,712.9592,739.0292
VATIA,BOYACA,1 COMP,305.0558,56.7575,254.3372,32.8442,26.07,67.4945,41.1439,757.6331,783.7031
VATIA,BOYACA,2,305.0558,56.7575,188.3506,32.8442,26.58,19.0156,41.1439,643.1676,669.7476
VATIA,BOYACA,3,305.0558,56.7575,127.3489,32.8442,23.86,16.1416,41.1439,579.2919,603.1519
VATIA,CALDAS,1 COMP,305.1401,56.7575,288.128,29.1133,73.91,59.5521,41.1439,779.8349,853.7449
VATIA,CALDAS,2,305.1401,56.7575,206.2744,29.1133,42.88,27.1466,41.1439,665.5758,708.4558
VATIA,CALDAS,1 US,305.1401,56.7575,249.3108,29.1133,73.91,59.5521,41.1439,741.0177,814.9277
VATIA,CALDAS,1 OR,305.1401,56.7575,326.9453,29.1133,73.91,59.5521,41.1439,818.6522,892.5622
VATIA,CALDAS,3,305.1401,56.7575,90.8879,29.1133,0,20.1518,41.1439,543.1945,543.1945
VATIA,CALI,1 OR,305.3496,56.7575,261.038,22.7021,0,50.4088,41.1439,737.3999,737.3999
VATIA,CALI,1 US,305.3496,56.7575,232.5351,22.7021,0,50.4088,41.1439,708.897,708.897
VATIA,CALI,2,305.3496,56.7575,153.1842,22.7021,0,22.9862,41.1439,602.1235,602.1235
VATIA,CALI,1 COMP,305.3496,56.7575,246.7865,22.7021,0,50.4088,41.1439,723.1484,723.1484
VATIA,CALI,3,305.3496,56.7575,94.3738,22.7021,0,21.4528,41.1439,541.7797,541.7797
VATIA,CAQUETA,1 COMP,303.7989,56.7575,233.6102,28.7502,29.82,70.8443,41.1439,733.905,763.725
VATIA,CAQUETA,1 US,303.7989,56.7575,204.7472,28.7502,29.82,70.8443,41.1439,705.042,734.862
VATIA,CAQUETA,1 OR,303.7989,56.7575,262.4731,28.7502,29.82,70.8443,41.1439,762.7679,792.5879
VATIA,CAQUETA,2,303.7989,56.7575,181.0986,27.7502,28.2,22.7126,41.1439,633.2617,661.4617
VATIA,CAQUETA,3,303.7989,56.7575,79.7306,27.7502,28.37,17.4675,41.1439,526.6486,555.0186
VATIA,CARIBE MAR,1 OR,304.5855,56.7575,204.807,50.5935,85.85,127.564,41.1439,785.4514,871.3014
VATIA,CARIBE MAR,1 US,304.5855,56.7575,168.9212,50.5935,85.85,127.564,41.1439,749.5656,835.4156
VATIA,CARIBE MAR,1 COMP,304.5855,56.7575,186.8641,50.5935,85.85,127.564,41.1439,767.5085,853.3585
VATIA,CARIBE MAR,2,304.5855,56.7575,131.7138,50.5935,59.09,38.434,41.1439,623.2282,682.3182
VATIA,CARIBE MAR,3,304.5855,56.7575,99.8176,50.5935,0,27.9718,41.1439,580.8698,580.8698
VATIA,CARIBE SOL,1 OR,304.5854,56.7575,128.9862,51.5677,14.26,92.7516,41.1439,675.7923,690.0523
VATIA,CARIBE SOL,1 US,304.5854,56.7575,105.8543,51.5677,14.26,92.7516,41.1439,652.6604,666.9204
VATIA,CARIBE SOL,1 COMP,304.5854,56.7575,117.4203,51.5677,14.26,92.7516,41.1439,664.2264,678.4864
