Comercializador,Mercado,Nivel de Tensión,G,T,D,C,COT,P,R,CU,CU + COT
QI,ANTIOQUIA,1 OR,357.286,53.8357,308.582,29.952,-45.390,71.858,18.8547,840.368,885.758
QI,ANTIOQUIA,1 COMP,357.286,53.8357,270.695,29.952,-40.390,71.858,18.8547,802.082,842.472
QI,ANTIOQUIA,1 US,357.286,53.8357,238.809,29.952,-45.390,71.858,18.8547,770.596,815.986
QI,ANTIOQUIA,2,357.286,53.8357,202.815,29.952,-20.390,71.858,18.8547,714.242,734.632
QI,ANTIOQUIA,3,357.286,53.8357,89.815,29.952,-19.930,19.028,18.8547,568.772,588.702
QI,ATLANTICO,1 OR,353.282,53.8357,156.734,46.229,-13.018,86.132,18.8547,685.064,698.082
QI,ATLANTICO,1 COMP,353.282,53.8357,128.340,46.229,-13.018,86.132,18.8547,656.670,669.688
QI,ATLANTICO,1 US,353.282,53.8357,104.344,46.229,-13.018,86.132,18.8547,632.674,645.692
QI,ATLANTICO,2,353.282,53.8357,108.370,46.229,-13.018,26.084,18.8547,576.622,589.640
QI,ATLANTICO,3,353.282,53.8357,63.901,46.229,-13.018,23.969,18.8547,546.054,559.072
QI,BOLIVAR,1 OR,353.282,53.8357,200.730,52.317,-80.606,125.998,18.8547,732.066,812.672
QI,BOLIVAR,1 COMP,353.282,53.8357,172.337,52.317,-80.606,125.998,18.8547,703.673,784.279
QI,BOLIVAR,1 US,353.282,53.8357,165.362,52.317,-80.606,125.998,18.8547,696.698,777.304
QI,BOLIVAR,2,353.282,53.8357,108.370,52.317,-80.606,25.958,18.8547,589.517,670.123
QI,BOLIVAR,3,353.282,53.8357,97.500,52.317,-80.606,13.727,18.8547,576.200,656.806
QI,BOYACA,1 OR,334.529,53.8357,296.326,30.857,-15.266,72.573,18.8547,791.710,806.976
QI,BOYACA,1 COMP,334.529,53.8357,254.456,30.857,-15.266,72.573,18.8547,749.840,765.106
QI,BOYACA,1 US,334.529,53.8357,212.910,30.857,-15.266,72.573,18.8547,708.294,723.560
QI,BOYACA,2,334.529,53.8357,193.147,30.857,-27.122,20.503,18.8547,624.604,651.726
QI,BOYACA,3,334.529,53.8357,130.569,30.857,-23.451,17.421,18.8547,562.615,586.066
QI,CALDAS,1 OR,341.836,53.8357,308.582,28.028,-69.626,64.632,18.8547,746.142,815.768
QI,CALDAS,1 COMP,341.836,53.8357,270.060,28.028,-69.626,64.632,18.8547,707.620,777.246
QI,CALDAS,1 US,341.836,53.8357,231.538,28.028,-69.626,64.632,18.8547,669.098,738.724
QI,CALDAS,2,341.836,53.8357,202.815,28.028,-60.626,69.136,18.8547,654.390,715.016
QI,CALDAS,3,341.836,53.8357,89.815,28.028,-60.626,21.523,18.8547,492.267,552.893
QI,CALI,1 OR,357.889,53.8357,273.211,32.827,0.000,56.925,18.8547,793.542,793.542
QI,CALI,1 COMP,357.889,53.8357,259.910,32.827,0.000,56.925,18.8547,780.241,780.241
QI,CALI,1 US,357.889,53.8357,244.850,32.827,0.000,56.925,18.8547,765.181,765.181
QI,CALI,2,357.889,53.8357,159.980,32.827,0.000,25.718,18.8547,648.404,648.404
QI,CALI,3,357.889,53.8357,98.831,32.827,0.000,23.980,18.8547,586.218,586.218
QI,CAQUETA,1 OR,335.191,53.8357,265.829,26.411,-28.940,76.574,18.8547,748.755,777.695
