Comercializador,Mercado,Nivel de Tensión,G,T,D,C,COT,P,R,CU,CU + COT
Enerbit,RISARALDA,1 OR,390.79,311.00,68.33,38.34,0.00,0.00,392.58,810.44,810.44
Enerbit,RISARALDA,1 COMP,390.79,287.78,68.33,38.34,0.00,0.00,392.58,785.25,785.25
Enerbit,RISARALDA,1 US,390.79,264.56,68.33,38.34,0.00,0.00,392.58,761.61,761.61
Enerbit,RISARALDA,2,390.79,0.00,55.51,21.59,0.00,0.00,392.58,467.89,467.89
Enerbit,RISARALDA,3,390.79,0.00,28.55,23.96,0.00,0.00,392.58,443.30,443.30
Enerbit,RISARALDA,4,390.79,0.00,8.54,10.51,0.00,0.00,392.58,409.84,409.84
Enerbit,TOLIMA,1 OR,391.32,266.01,61.65,43.67,0.00,0.00,391.13,762.65,762.65
Enerbit,TOLIMA,1 COMP,391.32,238.08,61.65,43.67,0.00,0.00,391.13,734.72,734.72
Enerbit,TOLIMA,1 US,391.32,210.94,61.65,43.67,0.00,0.00,391.13,707.58,707.58
Enerbit,TOLIMA,2,391.57,266.01,61.13,65.27,13.34,0.00,392.58,776.32,789.66
Enerbit,TOLIMA,3,391.57,251.81,61.13,65.27,13.34,0.00,392.58,762.12,775.46
Enerbit,TOLIMA,4,391.57,237.60,61.13,65.27,13.34,0.00,392.58,747.91,761.25
Enerbit,VALLE,1 OR,390.66,266.01,85.56,236.50,0.00,0.00,253.72,978.73,978.73
Enerbit,VALLE,1 COMP,390.66,246.61,85.56,236.50,0.00,0.00,253.72,959.33,959.33
Enerbit,VALLE,1 US,390.66,226.10,85.56,236.50,0.00,0.00,253.72,938.82,938.82
Enerbit,VALLE,2,390.66,0.00,29.39,236.50,0.00,0.00,253.72,656.55,656.55
Enerbit,VALLE,3,390.66,0.00,10.15,20.35,0.00,0.00,253.72,621.16,621.16
Enerbit,CHOCO,1 OR,395.11,311.00,72.40,102.31,81.64,71.38,253.30,1135.50,1217.14
Enerbit,CHOCO,1 COMP,395.11,272.20,72.40,102.31,81.64,71.38,253.30,1096.70,1178.34
Enerbit,CHOCO,1 US,395.11,233.49,72.40,102.31,81.64,71.38,253.30,1058.99,1140.63
Enerbit,CHOCO,2,395.11,0.00,32.43,30.93,59.66,0.00,253.30,711.43,771.09
Enerbit,CHOCO,3,395.11,0.00,23.44,30.93,35.90,0.00,253.30,702.78,738.68
Enerbit,HUILA,1 OR,395.90,269.85,56.29,165.28,22.98,0.00,0.00,910.30,933.28
Enerbit,HUILA,1 COMP,395.90,278.91,56.29,165.28,22.98,0.00,0.00,919.36,942.34
Enerbit,HUILA,1 US,395.90,249.97,56.29,165.28,22.98,0.00,0.00,890.42,913.40
Enerbit,HUILA,2,395.90,0.00,26.00,165.28,0.00,0.00,0.00,587.18,587.18
Enerbit,HUILA,3,395.90,0.00,15.60,63.19,0.00,0.00,0.00,474.69,474.69
