Comercializador,Mercado,Nivel de Tensión,G,T,D,C,COT,P,R,CU,CU + COT
Enel X,BOGOTA,1 OR,384.5546,54.6881,299.8483,31.2529,0.0000,73.9369,39.2476,883.5284,883.5284
Enel X,BOGOTA,1 COMP,384.5546,54.6881,273.4974,31.2529,0.0000,73.9369,39.2476,857.1775,857.1775
Enel X,BOGOTA,1 US,384.5546,54.6881,247.1465,31.2529,0.0000,73.9369,39.2476,830.8266,830.8266
Enel X,BOGOTA,2,384.5546,54.6881,187.5697,31.2529,36.0900,24.9585,39.2476,721.8981,757.9881
Enel X,BOGOTA,3,384.5546,54.6881,126.9278,31.2529,30.7300,23.2810,39.2476,660.4810,691.2110
Enel X,ANTIOQUIA,1 OR,385.2642,54.6881,310.9990,31.6320,46.1700,76.6887,39.2476,898.5196,944.6896
Enel X,ANTIOQUIA,1 COMP,385.2642,54.6881,275.8941,31.6320,46.1700,76.6887,39.2476,863.4147,909.5847
Enel X,ANTIOQUIA,1 US,385.2642,54.6881,240.7891,31.6320,46.1700,76.6887,39.2476,828.3097,874.4797
Enel X,ANTIOQUIA,2,385.2642,54.6881,198.8052,31.6320,19.9500,22.7796,39.2476,732.4338,752.3838
Enel X,ANTIOQUIA,3,385.2642,54.6881,88.6491,31.6320,20.7400,20.7127,39.2476,619.6084,640.3484
Enel X,CARIBE MAR,1 OR,386.3717,54.6881,187.6766,31.2560,82.6864,137.4689,39.2476,836.7089,919.3953
Enel X,CARIBE MAR,1 COMP,386.3717,54.6881,169.9035,31.2560,82.6864,137.4689,39.2476,818.9358,901.6222
Enel X,CARIBE MAR,1 US,386.3717,54.6881,152.1304,31.2560,82.6864,137.4689,39.2476,801.1627,883.8491
Enel X,CARIBE MAR,2,386.3717,54.6881,118.0373,31.2560,58.9255,28.6248,39.2476,658.2255,717.1513
Enel X,CARIBE MAR,3,386.3717,54.6881,86.8195,31.2560,0.0000,15.8859,39.2476,614.2426,614.2426
Enel X,CARIBE SOL,1 OR,386.3717,54.6881,115.0226,28.8612,13.3350,93.1087,39.2476,717.2999,730.6349
Enel X,CARIBE SOL,1 COMP,386.3717,54.6881,103.6954,28.8612,13.3350,93.1087,39.2476,705.9727,719.3077
Enel X,CARIBE SOL,1 US,386.3717,54.6881,92.3682,28.8612,13.3350,93.1087,39.2476,694.6455,707.9805
Enel X,CARIBE SOL,2,386.3717,54.6881,74.5235,28.8612,0.0000,30.2297,39.2476,613.9214,613.9214
Enel X,CARIBE SOL,3,386.3717,54.6881,53.1668,28.8612,0.0000,25.3776,39.2476,588.1116,588.1116
Enel X,CALI,1 OR,385.0976,54.6881,266.0141,29.9796,0.0000,60.6345,39.2476,835.6615,835.6615
Enel X,CALI,1 US,385.0976,54.6881,237.5984,29.9796,0.0000,60.6345,39.2476,807.2458,807.2458
Enel X,CALI,2,385.0976,54.6881,154.2833,29.9796,0.0000,27.5295,39.2476,690.5917,690.5917
Enel X,CALI,3,385.0976,54.6881,95.1502,29.9796,0.0000,25.4433,39.2476,629.6064,629.6064
Enel X,CASANARE,1 OR,391.5593,54.6881,255.5851,29.3493,20.7173,89.9943,39.2476,860.4237,881.1410
Enel X,CASANARE,1 US,391.5593,54.6881,172.5617,29.3493,20.7173,89.9943,39.2476,777.4003,798.1176
Enel X,CASANARE,2,391.5593,54.6881,178.7218,29.3493,0.0000,36.3475,39.2476,730.0419,730.0419
Enel X,CASANARE,3,391.5593,54.6881,78.9687,29.3493,0.0000,31.2451,39.2476,625.0581,625.0581
Enel X,CALDAS,1 OR,389.5379,54.6881,310.9990,38.7772,71.3816,71.9281,39.2476,905.1779,976.5595
Enel X,CALDAS,1 COMP,389.5379,54.6881,272.2434,38.7772,71.3816,71.9281,39.2476,866.4223,937.8039
Enel X,CALDAS,1 US,389.5379,54.6881,233.4879,38.7772,71.3816,71.9281,39.2476,827.6668,899.0484
Enel X,CALDAS,2,389.5379,54.6881,198.8052,38.7772,0.0000,32.1107,39.2476,753.1631,753.1631
Enel X,CALDAS,3,389.5379,54.6881,88.6491,38.7772,0.0000,23.5121,39.2476,634.4120,634.4120
Enel X,SANTANDER,1 OR,297.4300,54.6881,310.9990,30.7523,39.1400,66.0762,39.2476,799.1932,838.3332
Enel X,SANTANDER,1 COMP,297.4300,54.6881,265.5284,30.7523,39.1400,66.0762,39.2476,753.7226,792.8626
Enel X,SANTANDER,1 US,297.4300,54.6881,220.0578,30.7523,39.1400,66.0762,39.2476,708.2520,747.3920
Enel X,SANTANDER,2,297.4300,54.6881,198.8052,30.7523,23.0300,24.2300,39.2476,645.2240,668.2540
Enel X,SANTANDER,3,297.4300,54.6881,88.6491,30.7523,21.1600,18.5188,39.2476,529.2859,550.4459
Enel X,NORTE SANTANDER,1 OR,387.7055,54.6881,310.9990,42.1445,50.6632,81.0529,39.2476,915.8376,966.5008
Enel X,NORTE SANTANDER,1 COMP,387.7055,54.6881,283.0351,42.1445,50.6632,81.0529,39.2476,887.8737,938.5369
Enel X,NORTE SANTANDER,1 US,387.7055,54.6881,255.0713,42.1445,50.6632,81.0529,39.2476,859.9099,910.5731
Enel X,NORTE SANTANDER,2,387.7055,54.6881,198.8052,42.1445,31.8423,25.9878,39.2476,748.4695,780.3118
Enel X,NORTE SANTANDER,3,387.7055,54.6881,88.6491,42.1445,38.3176,26.6073,39.2476,639.0421,677.3597
Enel X,META,1 OR,387.5236,54.6881,255.5851,31.3476,58.9782,69.3487,39.2476,837.7407,896.7189
Enel X,META,1 COMP,387.5236,54.6881,239.6983,31.3476,58.9782,69.3487,39.2476,821.8539,880.8321
Enel X,META,1 US,387.5236,54.6881,223.8114,31.3476,58.9782,69.3487,39.2476,805.9670,864.9452
Enel X,META,2,387.5236,54.6881,178.7218,31.3476,39.3503,31.7026,39.2476,722.5547,761.9050
Enel X,META,3,387.5236,54.6881,78.9687,31.3476,26.5635,24.0803,39.2476,615.8559,642.4194
Enel X,QUINDIO,1 OR,385.7288,54.6881,310.9990,31.7435,81.6414,70.9332,39.2476,893.3402,974.9816
Enel X,QUINDIO,1 COMP,385.7288,54.6881,285.9507,31.7435,81.6414,70.9332,39.2476,868.2919,949.9333
Enel X,QUINDIO,1 US,385.7288,54.6881,260.9024,31.7435,81.6414,70.9332,39.2476,843.2436,924.8850
Enel X,QUINDIO,2,385.7288,54.6881,198.8052,31.7435,54.6559,29.6231,39.2476,739.8365,794.4924
Enel X,QUINDIO,3,385.7288,54.6881,88.6491,31.7435,35.9763,22.3376,39.2476,622.4332,658.4095
Enel X,NARIÑO,1 OR,394.7750,54.6881,266.0141,34.9256,43.2652,74.2897,39.2476,863.9401,907.2053
Enel X,NARIÑO,1 COMP,394.7750,54.6881,236.9490,34.9256,43.2652,74.2897,39.2476,834.8750,878.1402
Enel X,NARIÑO,1 US,394.7750,54.6881,207.8838,34.9256,43.2652,74.2897,39.2476,805.8098,849.0750
Enel X,NARIÑO,2,394.7750,54.6881,154.2833,34.9256,45.2457,24.8384,39.2476,702.7585,748.0042
Enel X,NARIÑO,3,394.7750,54.6881,95.1502,34.9256,26.9322,17.9240,39.2476,636.0269,661.9591
Enel X,RISARALDA,1 OR,295.5226,54.6881,310.9990,27.1768,0.0000,55.3702,39.2476,783.0043,783.0043
Enel X,RISARALDA,1 COMP,295.5226,54.6881,287.7680,27.1768,0.0000,55.3702,39.2476,759.7733,759.7733
Enel X,RISARALDA,1 US,295.5226,54.6881,264.5371,27.1768,0.0000,55.3702,39.2476,736.5424,736.5424
Enel X,RISARALDA,2,295.5226,54.6881,198.8052,27.1768,0.0000,23.2327,39.2476,638.7677,638.7677
Enel X,RISARALDA,3,295.5226,54.6881,88.6491,27.1768,0.0000,20.4739,39.2476,525.7581,525.7581
Enel X,HUILA,1 OR,388.4914,54.6881,299.8483,38.9412,20.3432,78.5977,39.2476,899.8143,920.1575
Enel X,HUILA,1 COMP,388.4914,54.6881,274.9113,38.9412,20.3432,78.5977,39.2476,874.8773,895.2205
Enel X,HUILA,1 US,388.4914,54.6881,249.9744,38.9412,20.3432,78.5977,39.2476,849.9404,870.2836
Enel X,HUILA,2,388.4914,54.6881,187.5697,38.9412,34.8433,30.7253,39.2476,739.1917,774.0350
Enel X,HUILA,3,388.4914,54.6881,126.9278,38.9412,31.1937,23.0179,39.2476,671.3140,702.5077
Enel X,VALLE,1 OR,387.4865,54.6881,266.0141,29.6712,55.9400,72.5286,39.2476,849.6361,905.5761
Enel X,VALLE,1 US,387.4865,54.6881,194.5138,29.6712,55.9400,72.5286,39.2476,778.1358,834.0758
Enel X,VALLE,2,387.4865,54.6881,154.2833,29.6712,0.0000,30.6490,39.2476,695.8676,695.8676
Enel X,VALLE,3,387.4865,54.6881,95.1502,29.6712,0.0000,26.0275,39.2476,632.2711,632.2711
Enel X,TULUA,1 OR,384.7917,54.6881,266.0141,28.7031,0.0000,68.0288,39.2476,841.4734,841.4734
Enel X,TULUA,1 US,384.7917,54.6881,210.9497,28.7031,0.0000,68.0288,39.2476,786.4090,786.4090
Enel X,TULUA,2,384.7917,54.6881,154.2833,28.7031,75.3500,28.8516,39.2476,690.2306,765.5806
Enel X,TULUA,3,384.7917,54.6881,95.1502,28.7031,70.4800,21.7904,39.2476,624.3711,694.8511
Enel X,TOLIMA,1 OR,388.8588,54.6881,299.8483,30.9442,101.4000,96.1407,39.2476,909.7277,1011.1277
Enel X,TOLIMA,1 COMP,388.8588,54.6881,251.3036,30.9442,101.4000,96.1407,39.2476,861.1830,962.5830
Enel X,TOLIMA,1 US,388.8588,54.6881,202.7589,30.9442,101.4000,96.1407,39.2476,812.6383,914.0383
Enel X,TOLIMA,2,388.8588,54.6881,187.5697,30.9442,0.0000,42.5648,39.2476,743.8733,743.8733
Enel X,TOLIMA,3,388.8588,54.6881,126.9278,30.9442,0.0000,31.9484,39.2476,672.1513,672.1513
Enel X,BOYACA,1 OR,301.4948,54.6881,299.8483,33.9590,28.1413,66.6239,39.2476,795.8617,824.0030
Enel X,BOYACA,1 COMP,301.4948,54.6881,255.5793,33.9590,28.1413,66.6239,39.2476,751.5927,779.7340
Enel X,BOYACA,1 US,301.4948,54.6881,211.3103,33.9590,28.1413,66.6239,39.2476,707.3237,735.4650
