Comercializador,Mercado,Nivel de Tensión,G,T,D,C,COT,P,R,CU,CU + COT
Enel X,CUNDINAMARCA,1 OR,387.2441,62.1955,302.8913,33.1798,180.3692,76.4903,39.8452,901.8462,1082.2154
Enel X,CUNDINAMARCA,1 COMP,387.2441,62.1955,275.6787,33.1798,174.9267,76.4903,39.8452,874.6336,1049.5603
Enel X,CUNDINAMARCA,1 US,387.2441,62.1955,248.4661,33.1798,169.4842,76.4903,39.8452,847.4210,1016.9052
Enel X,CUNDINAMARCA,2,387.2441,62.1955,192.3819,33.1798,148.1342,25.8245,39.8452,740.6710,888.8052
Enel X,CUNDINAMARCA,3,387.2441,62.1955,129.1811,33.1798,135.3396,25.0524,39.8452,676.6981,812.0377
Enel X,ANTIOQUIA,1 OR,387.8522,62.1955,322.1339,32.8336,184.8237,79.2582,39.8452,924.1186,1108.9423
Enel X,ANTIOQUIA,1 COMP,387.8522,62.1955,281.3031,32.8336,176.6576,79.2582,39.8452,883.2878,1059.9454
Enel X,ANTIOQUIA,1 US,387.8522,62.1955,240.4724,32.8336,168.4914,79.2582,39.8452,842.4571,1010.9485
Enel X,ANTIOQUIA,2,387.8522,62.1955,207.5394,32.8336,150.8424,23.9459,39.8452,754.2118,905.0542
Enel X,ANTIOQUIA,3,387.8522,62.1955,91.3790,32.8336,127.0684,21.2363,39.8452,635.3418,762.4102
Enel X,BOLIVAR,1 OR,388.8014,62.1955,214.7089,33.9037,179.7127,159.1090,39.8452,898.5637,1078.2764
Enel X,BOLIVAR,1 COMP,388.8014,62.1955,196.7902,33.9037,176.1290,159.1090,39.8452,880.6450,1056.7740
Enel X,BOLIVAR,1 US,388.8014,62.1955,178.8715,33.9037,172.5453,159.1090,39.8452,862.7263,1035.2716
Enel X,BOLIVAR,2,388.8014,62.1955,139.8606,33.9037,142.4048,47.4175,39.8452,712.0239,854.4287
Enel X,BOLIVAR,3,388.8014,62.1955,108.9225,33.9037,133.5969,34.3161,39.8452,667.9844,801.5813
Enel X,ATLANTICO,1 OR,388.8014,62.1955,133.0225,32.6232,153.7791,112.4079,39.8452,768.8957,922.6748
Enel X,ATLANTICO,1 COMP,388.8014,62.1955,122.7090,32.6232,151.7164,112.4079,39.8452,758.5822,910.2986
Enel X,ATLANTICO,1 US,388.8014,62.1955,112.3954,32.6232,149.6537,112.4079,39.8452,748.2686,897.9223
Enel X,ATLANTICO,2,388.8014,62.1955,92.1323,32.6232,132.6996,47.9004,39.8452,663.4980,796.1976
Enel X,ATLANTICO,3,388.8014,62.1955,72.9073,32.6232,127.9422,43.3384,39.8452,639.7110,767.6532
Enel X,VALLE,1 OR,387.7094,62.1955,265.2620,32.8528,170.1404,62.8369,39.8452,850.7018,1020.8422
Enel X,VALLE,1 COMP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Enel X,VALLE,1 US,387.7094,62.1955,237.0727,32.8528,164.5025,62.8369,39.8452,822.5125,987.0150
Enel X,VALLE,2,387.7094,62.1955,153.4570,32.8528,140.9349,28.6148,39.8452,704.6747,845.6096
Enel X,VALLE,3,387.7094,62.1955,94.9269,32.8528,128.8465,26.7029,39.8452,644.2327,773.0792
Enel X,CASANARE,1 OR,393.2473,62.1955,269.6139,50.5610,181.5580,92.3271,39.8452,907.7900,1089.3480
Enel X,CASANARE,1 COMP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Enel X,CASANARE,1 US,393.2473,62.1955,176.5339,50.5610,162.9412,92.3271,39.8452,814.7100,977.6520
Enel X,CASANARE,2,393.2473,62.1955,179.4642,50.5610,152.5669,37.5212,39.8452,762.8344,915.4013
Enel X,CASANARE,3,393.2473,62.1955,79.8218,50.5610,131.5709,32.1835,39.8452,657.8543,789.4252
Enel X,CALDAS,1 OR,391.5149,62.1955,322.1339,40.7844,186.1428,74.2399,39.8452,930.7138,1116.8566
Enel X,CALDAS,1 COMP,391.5149,62.1955,283.4787,40.7844,178.4117,74.2399,39.8452,892.0586,1070.4703
Enel X,CALDAS,1 US,391.5149,62.1955,244.8235,40.7844,170.6807,74.2399,39.8452,853.4034,1024.0841
Enel X,CALDAS,2,391.5149,62.1955,207.5394,40.7844,155.0618,33.4297,39.8452,775.3091,930.3709
Enel X,CALDAS,3,391.5149,62.1955,91.3790,40.7844,130.0683,24.6227,39.8452,650.3417,780.4100
Enel X,SANTANDER,1 OR,313.0051,62.1955,322.1339,30.7903,167.8845,70.9527,39.8452,838.9227,1006.7072
Enel X,SANTANDER,1 COMP,313.0051,62.1955,272.8404,30.7903,157.9258,70.9527,39.8452,789.6292,947.5550
Enel X,SANTANDER,1 US,313.0051,62.1955,223.5468,30.7903,147.9671,70.9527,39.8452,740.3356,888.4027
Enel X,SANTANDER,2,313.0051,62.1955,207.5394,30.7903,135.8323,26.2860,39.8452,679.6615,815.5938
Enel X,SANTANDER,3,313.0051,62.1955,91.3790,30.7903,111.4652,20.1107,39.8452,557.3258,668.7910
Enel X,NORTE DE SANTANDER,1 OR,389.9445,62.1955,322.1339,44.1598,188.3944,83.6931,39.8452,941.9720,1130.3664
Enel X,NORTE DE SANTANDER,1 COMP,389.9445,62.1955,293.9709,44.1598,182.7618,83.6931,39.8452,913.8090,1096.5708
Enel X,NORTE DE SANTANDER,1 US,389.9445,62.1955,265.8078,44.1598,177.1292,83.6931,39.8452,885.6459,1062.7751
Enel X,NORTE DE SANTANDER,2,389.9445,62.1955,207.5394,44.1598,154.1598,27.1144,39.8452,770.7988,924.9586
Enel X,NORTE DE SANTANDER,3,389.9445,62.1955,91.3790,44.1598,131.0838,27.8944,39.8452,655.4184,786.5021
Enel X,META,1 OR,389.7886,62.1955,269.6139,33.5215,173.3590,71.8304,39.8452,866.7951,1040.1541
Enel X,META,1 COMP,389.7886,62.1955,253.5966,33.5215,170.1228,71.8304,39.8452,850.7778,1020.9334
Enel X,META,1 US,389.7886,62.1955,237.5793,33.5215,166.8866,71.8304,39.8452,834.7605,1001.7126
Enel X,META,2,389.7886,62.1955,179.4642,33.5215,146.6683,32.5267,39.8452,737.3417,884.8100
Enel X,META,3,389.7886,62.1955,79.8218,33.5215,126.1142,25.3983,39.8452,630.5709,756.6851
Enel X,QUINDIO,1 OR,388.2504,62.1955,322.1339,58.4379,188.8542,73.4080,39.8452,944.2709,1133.1251
Enel X,QUINDIO,1 COMP,388.2504,62.1955,299.2043,58.4379,184.2683,73.4080,39.8452,921.3413,1105.6096
Enel X,QUINDIO,1 US,388.2504,62.1955,276.2747,58.4379,179.6823,73.4080,39.8452,898.4117,1078.0940
Enel X,QUINDIO,2,388.2504,62.1955,207.5394,58.4379,157.4563,31.0131,39.8452,787.2815,944.7378
Enel X,QUINDIO,3,388.2504,62.1955,91.3790,58.4379,132.7370,23.5768,39.8452,663.6848,796.4218
Enel X,NARIÑO,1 OR,396.0032,62.1955,265.2620,159.2911,199.8517,76.6614,39.8452,999.2584,1199.1101
Enel X,NARIÑO,1 COMP,396.0032,62.1955,235.8060,159.2911,193.9605,76.6614,39.8452,969.8024,1163.7629
Enel X,NARIÑO,1 US,396.0032,62.1955,206.3499,159.2911,188.0693,76.6614,39.8452,940.3463,1128.4156
Enel X,NARIÑO,2,396.0032,62.1955,153.4570,159.2911,167.3739,26.0774,39.8452,836.8694,1004.2433
Enel X,NARIÑO,3,396.0032,62.1955,94.9269,159.2911,154.1134,18.3052,39.8452,770.5671,924.6805
Enel X,RISARALDA,1 OR,350.1110,62.1955,322.1339,42.3078,176.2939,64.8759,39.8452,881.4693,1057.7632
Enel X,RISARALDA,1 COMP,350.1110,62.1955,298.8722,42.3078,171.6415,64.8759,39.8452,858.2076,1029.8491
Enel X,RISARALDA,1 US,350.1110,62.1955,275.6104,42.3078,166.9892,64.8759,39.8452,834.9458,1001.9350
Enel X,RISARALDA,2,350.1110,62.1955,207.5394,42.3078,145.8006,27.0043,39.8452,729.0032,874.8038
Enel X,RISARALDA,3,350.1110,62.1955,91.3790,42.3078,121.8942,23.6323,39.8452,609.4708,731.3650
Enel X,HUILA,1 OR,390.6180,62.1955,302.8913,40.1385,183.3690,81.1566,39.8452,916.8451,1100.2141
Enel X,HUILA,1 COMP,390.6180,62.1955,278.1140,40.1385,178.4136,81.1566,39.8452,892.0678,1070.4814
Enel X,HUILA,1 US,390.6180,62.1955,253.3368,40.1385,173.4581,81.1566,39.8452,867.2906,1040.7
