Comercializador,Mercado,Nivel de Tensión,G,T,D,C,COT,P,R,CU,CU + COT
ENELAR,ARAUCA,1 OR,304.0386,62.1955,299.0111,-29.373,0.0000,46.9529,39.8452,722.7233,722.7233
ENELAR,ARAUCA,1 COMP,304.0386,62.1955,272.8309,-29.373,0.0000,46.9529,39.8452,696.5430,696.5430
ENELAR,ARAUCA,1 US,304.0386,62.1955,246.6506,-29.373,0.0000,46.9529,39.8452,670.3627,670.3627
ENELAR,ARAUCA,2,304.0386,62.1955,188.3506,-29.373,0.0000,16.2484,39.8452,581.3523,581.3523
ENELAR,ARAUCA,3,304.0386,62.1955,127.3489,-29.373,0.0000,9.6336,39.8452,513.7418,513.7418
PUTUMAYO,BAJO PUTUMAYO,1 OR,302.7536,62.1955,262.4731,-27.0752,0.0000,44.6909,39.8452,684.8831,684.8831
PUTUMAYO,BAJO PUTUMAYO,1 COMP,302.7536,62.1955,232.7238,-27.0752,0.0000,44.6909,39.8452,655.1338,655.1338
PUTUMAYO,BAJO PUTUMAYO,1 US,302.7536,62.1955,202.9745,-27.0752,0.0000,44.6909,39.8452,625.3845,625.3845
PUTUMAYO,BAJO PUTUMAYO,2,302.7536,62.1955,181.0986,-27.0752,0.0000,17.3043,39.8452,576.1220,576.1220
PUTUMAYO,BAJO PUTUMAYO,3,302.7536,62.1955,79.7306,-27.0752,0.0000,14.6830,39.8452,472.1327,472.1327
EBSA,BOYACA,1 OR,305.0558,62.1955,299.0111,-58.9142,26.0700,67.4945,39.8452,740.7579,766.8279
EBSA,BOYACA,1 COMP,305.0558,62.1955,254.3372,-58.9142,26.0700,67.4945,39.8452,696.0840,722.1540
EBSA,BOYACA,1 US,305.0558,62.1955,209.6633,-58.9142,26.0700,67.4945,39.8452,651.4101,677.4801
EBSA,BOYACA,2,305.0558,62.1955,188.3506,-59.4242,26.5800,19.0156,39.8452,581.6185,608.1985
EBSA,BOYACA,3,305.0558,62.1955,127.3489,-56.7042,23.8600,16.1416,39.8452,517.7428,541.6028
EMCALI,CALI,1 OR,305.3496,62.1955,261.0380,-22.7021,0.0000,50.4088,39.8452,696.0350,696.0350
EMCALI,CALI,1 COMP,305.3496,62.1955,246.7865,-22.7021,0.0000,50.4088,39.8452,681.7833,681.7833
EMCALI,CALI,1 US,305.3496,62.1955,232.5351,-22.7021,0.0000,50.4088,39.8452,667.5319,667.5319
EMCALI,CALI,2,305.3496,62.1955,153.1842,-22.7021,0.0000,22.9862,39.8452,560.7586,560.7586
EMCALI,CALI,3,305.3496,62.1955,94.3738,-22.7021,0.0000,21.4528,39.8452,500.4148,500.4148
CHEC,CALDAS,1 OR,305.1401,62.1955,326.9453,-103.0233,73.9100,59.5521,39.8452,764.5649,838.4749
CHEC,CALDAS,1 COMP,305.1401,62.1955,288.1280,-103.0233,73.9100,59.5521,39.8452,725.7476,799.6576
CHEC,CALDAS,1 US,305.1401,62.1955,249.3108,-103.0233,73.9100,59.5521,39.8452,686.9304,760.8404
CHEC,CALDAS,2,305.1401,62.1955,206.2744,-71.9933,42.8800,27.1466,39.8452,610.4885,653.3685
CHEC,CALDAS,3,305.1401,62.1955,90.8879,-29.1133,0.0000,20.1518,39.8452,489.2172,489.2172
CAQUETA,CAQUETA,1 OR,303.7989,62.1955,262.4731,-57.5702,29.8200,70.8443,39.8452,711.4068,741.2268
CAQUETA,CAQUETA,1 COMP,303.7989,62.1955,233.6102,-57.5702,29.8200,70.8443,39.8452,682.5439,712.3639
CAQUETA,CAQUETA,1 US,303.7989,62.1955,204.7472,-57.5702,29.8200,70.8443,39.8452,653.6809,683.5009
CAQUETA,CAQUETA,2,303.7989,62.1955,181.0986,-55.9502,28.2000,22.7126,39.8452,581.8906,610.0906
CAQUETA,CAQUETA,3,303.7989,62.1955,79.7306,-56.1202,28.3700,17.4675,39.8452,475.4875,503.8575
CARIBESOL,CARIBE SOL,1 OR,304.5854,62.1955,128.9862,-65.8277,14.2600,92.7516,39.8452,576.7962,591.0562
CARIBESOL,CARIBE SOL,1 COMP,304.5854,62.1955,117.4203,-65.8277,14.2600,92.7516,39.8452,565.2303,579.4903
CARIBESOL,CARIBE SOL,1 US,304.5854,62.1955,105.8543,-65.8277,14.2600,92.7516,39.8452,553.6643,567.9243
CARIBESOL,CARIBE SOL,2,304.5854,62.1955,86.2877,-51.5677,0.0000,41.2606,39.8452,482.6067,482.6067
CARIBESOL,CARIBE SOL,3,304.5854,62.1955,62.6232,-51.5677,0.0000,37.6159,39.8452,455.2975,455.2975
CARIBEMAR,CARIBE MAR,1 OR,304.5855,62.1955,204.8070,-136.4435,85.8500,127.5640,39.8452,688.4037,774.2537
CARIBEMAR,CARIBE MAR,1 COMP,304.5855,62.1955,186.8641,-136.4435,85.8500,127.5640,39.8452,670.4608,756.3108
CARIBEMAR,CARIBE MAR,1 US,304.5855,62.1955,168.9212,-136.4435,85.8500,127.5640,39.8452,652.5179,738.3679
CARIBEMAR,CARIBE MAR,2,304.5855,62.1955,131.7138,-109.6835,59.0900,38.4340,39.8452,526.7805,585.8705
CARIBEMAR,CARIBE MAR,3,304.5855,62.1955,99.8176,-50.5935,0.0000,27.9718,39.8452,483.8221,483.8221
EMCARTAGO,CARTAGO,1 OR,305.0123,62.1955,261.0380,-27.9987,0.0000,70.1508,39.8452,710.2431,710.2431
EMCARTAGO,CARTAGO,1 COMP,305.0123,62.1955,241.0808,-27.9987,0.0000,70.1508,39.8452,690.2859,690.2859
EMCARTAGO,CARTAGO,1 US,305.0123,62.1955,221.1235,-27.9987,0.0000,70.1508,39.8452,670.3286,670.3286
EMCARTAGO,CARTAGO,2,305.0123,62.1955,153.1842,-27.9987,0.0000,24.5104,39.8452,556.7489,556.7489
EMCARTAGO,CARTAGO,3,305.0123,62.1955,94.3738,-27.9987,0.0000,20.4080,39.8452,493.8361,493.8361
ENERCA,CASANARE,1 OR,305.0552,62.1955,262.4731,-49.2523,21.6800,75.7631,39.8452,717.7598,739.4398
ENERCA,CASANARE,1 COMP,305.0552,62.1955,220.4649,-49.2523,21.6800,75.7631,39.8452,675.7516,697.4316
ENERCA,CASANARE,1 US,305.0552,62.1955,178.4567,-49.2523,21.6800,75.7631,39.8452,633.7434,655.4234
ENERCA,CASANARE,2,305.0552,62.1955,181.0986,-27.5723,0.0000,32.4195,39.8452,593.0417,593.0417
ENERCA,CASANARE,3,305.0552,62.1955,79.7306,-27.5723,0.0000,28.1893,39.8452,487.4435,487.4435
CEDELCA,CAUCA,1 OR,305.3553,62.1955,261.0380,-30.9441,0.0000,69.4408,39.8452,706.9307,706.9307
CEDELCA,CAUCA,1 COMP,305.3553,62.1955,215.8014,-30.9441,0.0000,69.4408,39.8452,661.6941,661.6941
CEDELCA,CAUCA,1 US,305.3553,62.1955,170.5647,-30.9441,0.0000,69.4408,39.8452,616.4574,616.4574
CEDELCA,CAUCA,2,305.3553,62.1955,153.1842,-30.9441,0.0000,27.5457,39.8452,557.1818,557.1818
CEDELCA,CAUCA,3,305.3553,62.1955,94.3738,-30.9441,0.0000,23.2790,39.8452,493.8947,493.8947
ELECTROHUILA,HUILA,1 OR,304.2095,62.1955,299.0111,-53.0038,20.9800,65.2998,39.8452,738.5373,759.5173
ELECTROHUILA,HUILA,1 COMP,304.2095,62.1955,274.0277,-53.0038,20.9800,65.2998,39.8452,713.5539,734.5339
ELECTROHUILA,HUILA,1 US,304.2095,62.1955,249.0443,-53.0038,20.9800,65.2998,39.8452,688.5705,709.5505
