Comercializador,Mercado,Nivel de Tensión,G,T,D,C,COT,P,R,CU,CU + COT
QI,ANTIOQUIA,1 OR,360.0584,54.6881,310.9990,29.7109,46.1700,72.4614,71.1722,899.0900,945.2600
QI,ANTIOQUIA,1 COMP,360.0584,54.6881,275.8941,29.7109,46.1700,72.4614,71.1722,863.9851,910.1551
QI,ANTIOQUIA,1 US,360.0584,54.6881,240.7891,29.7109,46.1700,72.4614,71.1722,828.8801,875.0501
QI,ANTIOQUIA,2,360.0584,54.6881,198.8052,29.7109,19.9500,21.6857,71.1722,736.1205,756.0705
QI,ANTIOQUIA,3,360.0584,54.6881,88.6491,29.7109,20.7400,19.1707,71.1722,623.4494,644.1894
QI,ARAUCA,1 OR,344.2144,54.6881,299.8483,26.3896,0.0000,52.1392,71.1722,848.4518,848.4518
QI,ARAUCA,1 COMP,344.2144,54.6881,273.9016,26.3896,0.0000,52.1392,71.1722,822.5051,822.5051
QI,ARAUCA,1 US,344.2144,54.6881,247.9548,26.3896,0.0000,52.1392,71.1722,796.5583,796.5583
QI,ARAUCA,2,344.2144,54.6881,187.5697,26.3896,0.0000,18.1779,71.1722,702.2119,702.2119
QI,ARAUCA,3,344.2144,54.6881,126.9278,26.3896,0.0000,10.5657,71.1722,633.9578,633.9578
QI,BOGOTA,1 OR,362.7417,54.6881,299.8483,32.1720,36.0900,70.3527,71.1722,890.9750,926.0650
QI,BOGOTA,1 COMP,362.7417,54.6881,273.4974,32.1720,0.0000,70.3527,71.1722,864.6241,864.6241
QI,BOGOTA,1 US,362.7417,54.6881,247.1465,32.1720,0.0000,70.3527,71.1722,838.2732,838.2732
QI,BOGOTA,2,362.7417,54.6881,187.5697,32.1720,36.0900,23.4770,71.1722,731.8207,767.9107
QI,BOGOTA,3,362.7417,54.6881,126.9278,32.1720,30.7300,22.7406,71.1722,670.4424,701.1724
QI,BOYACA,1 OR,336.2550,54.6881,299.8483,30.2091,28.1413,73.0244,71.1722,865.1971,893.3384
QI,BOYACA,1 US,336.2550,54.6881,211.3103,30.2091,28.1413,73.0244,71.1722,776.6591,804.8004
QI,BOYACA,2,336.2550,54.6881,187.5697,30.2091,27.7294,20.6304,71.1722,700.5245,728.2539
QI,BOYACA,3,336.2550,54.6881,126.9278,30.2091,25.7382,17.5296,71.1722,636.7818,662.5200
QI,CALDAS,1 OR,343.8982,54.6881,310.9990,27.6540,71.3816,65.0974,71.1722,873.5089,944.8905
QI,CALDAS,1 COMP,343.8982,54.6881,272.2434,27.6540,71.3816,65.0974,71.1722,834.7533,906.1349
QI,CALDAS,1 US,343.8982,54.6881,233.4879,27.6540,71.3816,65.0974,71.1722,795.9978,867.3794
QI,CALDAS,2,343.8982,54.6881,198.8052,27.6540,0.0000,29.3948,71.1722,725.6125,725.6125
QI,CALDAS,3,343.8982,54.6881,88.6491,27.6540,0.0000,21.6884,71.1722,607.7500,607.7500
QI,CALI,1 OR,360.6885,54.6881,266.0141,32.2024,0.0000,57.3945,71.1722,842.1598,842.1598
QI,CALI,1 US,360.6885,54.6881,237.5984,32.2024,0.0000,57.3945,71.1722,813.7441,813.7441
QI,CALI,2,360.6885,54.6881,154.2833,32.2024,0.0000,25.9233,71.1722,698.9578,698.9578
QI,CALI,3,360.6885,54.6881,95.1502,32.2024,0.0000,24.1749,71.1722,638.0763,638.0763
QI,CAQUETA,1 OR,336.9473,54.6881,255.5851,25.7674,29.0800,77.0538,71.1722,821.2139,850.2939
QI,CAQUETA,1 US,336.9473,54.6881,198.2780,25.7674,29.0800,77.0538,71.1722,763.9068,792.9868
QI,CAQUETA,2,336.9473,54.6881,178.7218,25.7674,29.4100,24.7596,71.1722,692.0564,721.4664
QI,CAQUETA,3,336.9473,54.6881,78.9687,25.7674,28.6900,19.0607,71.1722,586.6044,615.2944
QI,CARIBE MAR,1 OR,355.8704,54.6881,187.6766,52.8576,82.6864,126.9789,71.1722,849.2438,931.9302
QI,CARIBE MAR,1 US,355.8704,54.6881,152.1304,52.8576,82.6864,126.9789,71.1722,813.6976,896.3840
QI,CARIBE MAR,2,355.8704,54.6881,118.0373,52.8576,58.9258,25.7306,71.1722,678.3562,737.2820
QI,CARIBE MAR,3,355.8704,54.6881,86.8195,52.8576,0.0000,13.8554,71.1722,635.2632,635.2632
QI,CARIBE SOL,1 OR,355.8704,54.6881,115.0226,46.5935,13.3350,86.6583,71.1722,730.0051,743.3401
QI,CARIBE SOL,1 US,355.8704,54.6881,92.3682,46.5935,13.3350,86.6583,71.1722,707.3507,720.6857
QI,CARIBE SOL,2,355.8704,54.6881,74.5235,46.5935,0.0000,28.1643,71.1722,631.0120,631.0120
QI,CARIBE SOL,3,355.8704,54.6881,53.1668,46.5935,0.0000,24.0216,71.1722,605.5126,605.5126
QI,CARTAGO,1 OR,364.9673,54.6881,266.0141,29.0968,0.0000,81.0395,71.1722,866.9780,866.9780
QI,CARTAGO,1 US,364.9673,54.6881,226.0768,29.0968,0.0000,81.0395,71.1722,827.0407,827.0407
QI,CARTAGO,2,364.9673,54.6881,154.2833,29.0968,0.0000,28.0697,71.1722,702.2774,702.2774
QI,CARTAGO,3,364.9673,54.6881,95.1502,29.0968,0.0000,23.3206,71.1722,638.3952,638.3952
