Comercializador,Mercado,Nivel de Tensión,G,T,D,C,COT,P,R,CU,CU + COT
Enertotal,CALI,1 OR,421.02,53.84,273.21,43.21,0.00,65.18,18.17,874.63,874.63
Enertotal,CALI,1 COMP,421.02,53.84,202.09,43.21,0.00,78.38,18.17,818.46,875.81
Enertotal,CALI,1 US,421.02,53.84,237.65,43.21,0.00,78.38,18.17,854.02,911.37
Enertotal,CALI,2,421.02,53.84,273.21,43.21,0.00,65.18,18.17,874.63,874.63
Enertotal,CALI,3,421.02,53.84,273.21,43.21,0.00,65.18,18.17,874.63,874.63
Enertotal,VALLE,1 OR,425.99,53.84,273.21,40.00,61.35,78.38,18.17,889.58,946.93
Enertotal,VALLE,1 COMP,425.99,53.84,202.09,40.00,57.35,78.38,18.17,818.46,875.81
Enertotal,VALLE,1 US,425.99,53.84,237.65,40.00,57.35,78.38,18.17,854.02,911.37
Enertotal,VALLE,2,425.99,53.84,273.21,40.00,0.00,78.38,18.17,889.58,889.58
Enertotal,VALLE,3,425.99,53.84,273.21,40.00,0.00,78.38,18.17,889.58,889.58
Enertotal,NARIÑO,1 OR,421.26,53.84,215.37,76.58,70.63,78.40,18.17,863.62,934.25
Enertotal,NARIÑO,1 COMP,421.26,53.84,244.29,76.58,29.51,78.40,18.17,892.54,922.05
Enertotal,NARIÑO,1 US,421.26,53.84,244.29,76.58,29.51,78.40,18.17,892.54,922.05
Enertotal,NARIÑO,2,421.26,53.84,215.37,76.58,0.00,78.40,18.17,863.62,863.62
Enertotal,NARIÑO,3,421.26,53.84,215.37,76.58,0.00,78.40,18.17,863.62,863.62
Enertotal,ANTIOQUIA,1 OR,407.52,53.84,308.58,36.50,45.39,80.21,18.17,904.81,950.20
Enertotal,ANTIOQUIA,1 COMP,407.52,53.84,238.81,36.50,45.39,80.21,18.17,835.04,880.43
Enertotal,ANTIOQUIA,1 US,407.52,53.84,273.70,36.50,45.39,80.21,18.17,869.92,915.31
Enertotal,ANTIOQUIA,2,407.52,53.84,202.82,36.50,20.89,23.66,18.17,742.49,763.38
Enertotal,ANTIOQUIA,3,407.52,53.84,89.82,36.50,19.93,20.87,18.17,626.71,646.64
Enertotal,BOGOTA,1 OR,386.84,53.84,296.33,33.02,0.00,74.20,18.17,862.39,862.39
Enertotal,BOGOTA,1 COMP,386.84,53.84,243.94,33.02,0.00,74.20,18.17,810.00,810.00
Enertotal,BOGOTA,1 US,386.84,53.84,270.13,33.02,0.00,74.20,18.17,836.20,836.20
Enertotal,BOGOTA,2,386.84,53.84,193.15,33.02,34.34,24.66,18.17,709.67,744.01
Enertotal,BOGOTA,3,386.84,53.84,193.15,33.02,0.00,24.66,18.17,709.67,709.67
Enertotal,CAUCA,1 OR,431.43,53.84,273.21,64.00,0.00,90.46,18.17,931.10,931.10
Enertotal,CAUCA,1 COMP,431.43,53.84,183.54,64.00,0.00,90.46,18.17,841.43,841.43
Enertotal,CAUCA,1 US,431.43,53.84,183.54,64.00,0.00,90.46,18.17,841.43,841.43
Enertotal,CAUCA,2,431.43,53.84,159.98,64.00,0.00,34.21,18.17,761.62,761.62
Enertotal,CAUCA,3,431.43,53.84,98.83,64.00,0.00,28.50,18.17,694.76,694.76
Enertotal,BOYACA,1 OR,370.48,53.84,296.33,33.13,15.26,79.37,18.17,851.30,866.56
Enertotal,BOYACA,1 COMP,370.48,53.84,212.91,33.13,15.27,79.37,18.17,767.88,783.15
Enertotal,BOYACA,1 US,370.48,53.84,212.91,33.13,15.27,79.37,18.17,767.88,783.15
Enertotal,BOYACA,2,370.48,53.84,193.15,33.13,27.12,22.44,18.17,691.19,718.31
Enertotal,BOYACA,3,370.48,53.84,130.57,33.13,23.45,19.07,18.17,625.24,648.69
Enertotal,CARIBE MAR,1 OR,396.49,53.84,200.73,36.78,80.61,140.84,18.17,846.84,927.45
Enertotal,CARIBE MAR,1 COMP,396.49,53.84,165.36,36.78,80.60,140.84,18.17,811.48,892.08
Enertotal,CARIBE MAR,1 US,396.49,53.84,165.36,36.78,80.60,140.84,18.17,811.48,892.08
Enertotal,CARIBE MAR,2,396.49,53.84,200.73,36.78,0.00,140.84,18.17,846.84,846.84
Enertotal,CARIBE MAR,3,396.49,53.84,200.73,36.78,0.00,140.84,18.17,846.84,846.84
Enertotal,CARIBE SOL,1 OR,396.49,53.84,126.73,30.42,13.02,95.26,18.17,720.90,733.92
Enertotal,CARIBE SOL,1 COMP,396.49,53.84,104.34,30.42,13.02,95.26,18.17,698.51,711.53
Enertotal,CARIBE SOL,1 US,396.49,53.84,104.34,30.42,13.02,95.26,18.17,698.51,711.53
Enertotal,CARIBE SOL,2,396.49,53.84,85.18,30.42,0.00,31.00,18.17,615.09,615.09
Enertotal,CARIBE SOL,3,396.49,53.84,85.18,30.42,0.00,31.00,18.17,615.09,615.09
Enertotal,CALDAS,1 OR,378.02,53.84,308.58,32.51,69.62,70.07,18.17,861.19,930.81
Enertotal,CALDAS,1 COMP,378.02,53.84,231.54,32.51,69.63,70.07,18.17,784.14,853.77
Enertotal,CALDAS,1 US,378.02,53.84,270.06,32.51,69.62,70.07,18.17,822.67,892.29
Enertotal,CALDAS,2,378.02,53.84,202.82,32.51,0.00,70.07,18.17,716.70,716.70
Enertotal,CALDAS,3,378.02,53.84,202.82,32.51,0.00,70.07,18.17,716.70,716.70
Enertotal,CARTAGO,1 OR,433.00,53.84,273.21,34.61,0.00,93.72,18.17,906.54,906.54
Enertotal,CARTAGO,1 COMP,433.00,53.84,233.44,34.61,0.00,93.72,18.17,866.78,866.78
Enertotal,CARTAGO,1 US,433.00,53.84,233.44,34.61,0.00,93.72,18.17,866.78,866.78
Enertotal,CARTAGO,2,433.00,53.84,273.21,34.61,0.00,93.72,18.17,906.54,906.54
Enertotal,CARTAGO,3,433.00,53.84,273.21,34.61,0.00,93.72,18.17,906.54,906.54
Enertotal,TOLIMA,1 OR,432.85,53.84,296.33,34.30,100.04,104.96,18.17,940.43,1040.47
Enertotal,TOLIMA,1 COMP,432.85,53.84,199.93,34.30,100.04,104.96,18.17,844.03,944.07
Enertotal,TOLIMA,1 US,432.85,53.84,199.93,34.30,100.04,104.96,18.17,844.03,944.07
Enertotal,TOLIMA,2,432.85,53.84,193.15,34.30,0.00,104.96,18.17,778.35,778.35
Enertotal,TOLIMA,3,432.85,53.84,193.15,34.30,0.00,104.96,18.17,778.35,778.35
Enertotal,PEREIRA,1 OR,417.80,53.84,308.58,34.74,0.00,72.29,18.17,905.41,905.41
Enertotal,PEREIRA,1 COMP,417.80,53.84,262.43,34.74,0.00,72.29,18.17,859.26,859.26
Enertotal,PEREIRA,1 US,417.80,53.84,262.43,34.74,0.00,72.29,18.17,859.26,859.26
Enertotal,PEREIRA,2,417.80,53.84,202.82,34.74,0.00,29.06,18.17,756.42,756.42
Enertotal,PEREIRA,3,417.80,53.84,202.82,34.74,0.00,29.06,18.17,756.42,756.42
Enertotal,QUINDIO,1 OR,405.99,53.84,308.58,31.09,84.16,73.87,18.17,891.52,975.68
Enertotal,QUINDIO,1 COMP,405.99,53.84,259.56,31.09,84.16,73.87,18.17,842.50,926.66
Enertotal,QUINDIO,1 US,405.99,53.84,259.56,31.09,84.16,73.87,18.17,842.50,926.66
Enertotal,QUINDIO,2,405.99,53.84,202.82,31.09,53.33,30.71,18.17,742.60,795.93
Enertotal,QUINDIO,3,405.99,53.84,89.82,31.09,0.00,23.14,18.17,622.03,622.03
Enertotal,TULUA,1 OR,412.86,53.84,273.21,51.44,0.00,72.11,18.17,881.63,881.63
Enertotal,TULUA,1 COMP,412.86,53.84,218.45,51.44,0.00,72.11,18.17,826.86,826.86
Enertotal,TULUA,1 US,412.86,53.84,218.45,51.44,0.00,72.11,18.17,826.86,826.86
Enertotal,TULUA,2,412.86,53.84,159.98,51.44,80.13,30.12,18.17,726.41,806.54
Enertotal,TULUA,3,412.86,53.84,98.83,51.44,67.75,22.97,18.17,658.11,725.86
Enertotal,SANTANDER,1 OR,306.53,53.84,308.58,87.72,8.29,67.62,18.17,873.46,881.75
Enertotal,SANTANDER,1 COMP,306.53,53.84,217.97,87.72,8.29,67.62,18.17,782.85,791.14
Enertotal,SANTANDER,1 US,306.53,53.84,217.97,87.72,8.29,67.62,18.17,782.85,791.14
Enertotal,SANTANDER,2,306.53,53.84,202.82,87.72,-13.75,24.83,18.17,724.90,717.33
Enertotal,SANTANDER,3,306.53,53.84,89.82,87.72,-5.30,18.91,18.17,605.98,600.68
Enertotal,HUILA,1 OR,385.70,53.84,296.33,35.43,19.93,78.32,18.17,867.78,887.71
Enertotal,HUILA,1 COMP,385.70,53.84,248.33,35.43,19.93,78.32,18.17,819.78,839.71
Enertotal,HUILA,1 US,385.70,53.84,248.33,35.43,19.93,78.32,18.17,819.78,839.71
Enertotal,HUILA,2,385.70,53.84,193.15,35.43,32.89,30.35,18.17,716.63,749.52
Enertotal,HUILA,3,385.70,53.84,130.57,35.43,36.32,23.17,18.17,646.87,683.19
Enertotal,META,1 OR,392.81,53.84,265.83,30.75,61.18,69.96,18.17,831.35,892.53
Enertotal,META,1 COMP,392.81,53.84,233.50,30.75,61.18,69.96,18.17,799.02,860.20
Enertotal,META,1 US,392.81,53.84,233.50,30.75,61.18,69.96,18.17,799.02,860.20
Enertotal,META,2,392.81,53.84,181.17,30.75,39.40,31.23,18.17,707.97,747.37
Enertotal,META,3,392.81,53.84,80.78,30.75,27.00,24.21,18.17,600.56,627.56
